source,target,relation,weight,quantity,unit_value,date
DOCP:DISTRIBUIDORA TOOLS SAC|2024-01-05,PRODUCT:SKU-001,CONTAINS,725.0,5.0,145.0,2024-01-05
DOCP:DISTRIBUIDORA TOOLS SAC|2024-01-05,SUPPLIER:DISTRIBUIDORA TOOLS SAC,ISSUED_BY,1.0,0.0,0.0,2024-01-05
DOCP:DISTRIBUIDORA TOOLS SAC|2024-01-05,DATE:2024-01-05,ON_DATE,1.0,0.0,0.0,2024-01-05
DOCP:CEMENTOS DEL SUR|2024-01-06,PRODUCT:SKU-002,CONTAINS,2100.0,100.0,21.0,2024-01-06
DOCP:CEMENTOS DEL SUR|2024-01-06,SUPPLIER:CEMENTOS DEL SUR,ISSUED_BY,1.0,0.0,0.0,2024-01-06
DOCP:CEMENTOS DEL SUR|2024-01-06,DATE:2024-01-06,ON_DATE,1.0,0.0,0.0,2024-01-06
DOCP:IMPORTACIONES TRUPER|2024-01-08,PRODUCT:SKU-003,CONTAINS,480.0,20.0,24.0,2024-01-08
DOCP:IMPORTACIONES TRUPER|2024-01-08,SUPPLIER:IMPORTACIONES TRUPER,ISSUED_BY,1.0,0.0,0.0,2024-01-08
DOCP:IMPORTACIONES TRUPER|2024-01-08,DATE:2024-01-08,ON_DATE,1.0,0.0,0.0,2024-01-08
DOCP:PINTURAS PERU|2024-01-09,PRODUCT:SKU-004,CONTAINS,945.0,30.0,31.5,2024-01-09
DOCP:PINTURAS PERU|2024-01-09,SUPPLIER:PINTURAS PERU,ISSUED_BY,1.0,0.0,0.0,2024-01-09
DOCP:PINTURAS PERU|2024-01-09,DATE:2024-01-09,ON_DATE,1.0,0.0,0.0,2024-01-09
DOCP:FIJACIONES GLOBAL|2024-01-11,PRODUCT:SKU-005,CONTAINS,600.0,50.0,12.0,2024-01-11
DOCP:FIJACIONES GLOBAL|2024-01-11,SUPPLIER:FIJACIONES GLOBAL,ISSUED_BY,1.0,0.0,0.0,2024-01-11
DOCP:FIJACIONES GLOBAL|2024-01-11,DATE:2024-01-11,ON_DATE,1.0,0.0,0.0,2024-01-11
